epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,9692.93,0.76006,2.3589,0.25078,0.37755,0.01288,1.18878,0.96841,0.96891,0.9899,0.86009,0.86072,0.81904,0.78109,0.63902,0.60711,1.76806,0.08377,0.23082,0.01335,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10005.2,0.75974,2.33507,0.248,0.36757,0.01286,1.12484,0.9653,0.97127,0.99029,0.8689,0.89114,0.85243,0.86551,0.71421,0.5816,1.53793,0.09988,0.22261,0.01274,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10316.3,0.74806,2.27266,0.24567,0.36288,0.01266,1.0327,0.97297,0.97253,0.99146,0.86775,0.87718,0.8455,0.8392,0.69963,0.58665,1.5945,0.08861,0.21409,0.01298,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10627.8,0.74134,2.25944,0.24583,0.36369,0.01253,1.00728,0.96903,0.96882,0.98998,0.86478,0.88934,0.85141,0.85123,0.70945,0.5933,1.54123,0.09037,0.23405,0.01318,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10942.7,0.74673,2.26875,0.24438,0.3707,0.01258,1.01361,0.96984,0.97531,0.99112,0.86986,0.87896,0.85791,0.8451,0.70591,0.58601,1.5486,0.09088,0.21781,0.01285,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11254.4,0.74625,2.25196,0.24184,0.36022,0.01257,0.95875,0.96692,0.97515,0.99057,0.87097,0.90064,0.85931,0.86738,0.73273,0.57284,1.44744,0.08354,0.22184,0.01249,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11564.5,0.73864,2.15144,0.24054,0.35031,0.01252,0.8176,0.97238,0.97158,0.99056,0.86841,0.88883,0.86224,0.86664,0.73203,0.58351,1.45315,0.08895,0.21798,0.01272,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11874,0.73567,2.17105,0.23962,0.34572,0.01233,0.77183,0.97764,0.97094,0.99085,0.87598,0.90001,0.8695,0.87548,0.7319,0.56176,1.43462,0.08741,0.21045,0.01229,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12184.5,0.72803,2.13195,0.23792,0.34508,0.01228,0.73634,0.96935,0.97566,0.99099,0.87599,0.90364,0.8772,0.88748,0.74154,0.55683,1.37009,0.08504,0.21486,0.01206,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12496.4,0.72655,2.12691,0.23999,0.3422,0.01222,0.72431,0.97398,0.97796,0.99115,0.88195,0.89839,0.88115,0.87643,0.73739,0.54661,1.39377,0.08806,0.20629,0.01192,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12808.2,0.72642,2.12643,0.23812,0.35257,0.01218,0.71225,0.97524,0.9763,0.99151,0.8803,0.89773,0.8811,0.87388,0.73681,0.54813,1.3786,0.0835,0.20537,0.01197,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
