epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8648.44,0.63115,2.74181,0.23545,0.38236,1.06764,0.97135,0.97515,0.99101,0.87718,0.86366,0.83306,0.82042,0.66024,0.54342,1.88712,0.04406,0.28085,0.96872,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8918.08,0.63024,2.72757,0.23426,0.38093,1.06735,0.97503,0.98021,0.99152,0.88073,0.8668,0.84121,0.82984,0.66893,0.53861,1.84739,0.04333,0.27316,0.96397,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9191.23,0.61953,2.66392,0.23067,0.37323,1.06211,0.97772,0.97856,0.99165,0.87787,0.87882,0.8392,0.83163,0.67321,0.54654,1.84065,0.04546,0.27361,0.97219,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9460.42,0.62155,2.6422,0.22897,0.378,1.06349,0.97845,0.97897,0.99198,0.88532,0.87131,0.83866,0.81631,0.65344,0.52431,1.83948,0.04261,0.26404,0.95389,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9729.37,0.6166,2.62833,0.22585,0.37292,1.05935,0.97518,0.97999,0.9917,0.88292,0.88175,0.84386,0.84344,0.6835,0.53042,1.76885,0.04418,0.26662,0.96222,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10003.5,0.61252,2.59194,0.22637,0.37014,1.05995,0.97317,0.97846,0.99141,0.88508,0.88258,0.85345,0.84099,0.69112,0.51995,1.73458,0.03944,0.26592,0.95427,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10272.4,0.61601,2.59722,0.22444,0.36946,1.05853,0.97811,0.97957,0.99217,0.88356,0.8451,0.80927,0.75918,0.60982,0.52986,1.99843,0.04256,0.26257,0.9618,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10541.5,0.61017,2.56179,0.22253,0.36539,1.05694,0.97509,0.97782,0.99182,0.8817,0.87709,0.84391,0.83413,0.67811,0.53413,1.75798,0.04135,0.26555,0.95574,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10810.4,0.60819,2.54099,0.22254,0.36557,1.0564,0.97545,0.97897,0.99215,0.88752,0.88721,0.85039,0.84719,0.69332,0.5146,1.69834,0.03767,0.25838,0.95172,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11081.3,0.60791,2.53299,0.2211,0.3669,1.05535,0.97658,0.97846,0.99215,0.88873,0.89044,0.85332,0.85279,0.70075,0.51553,1.65624,0.04071,0.26137,0.94409,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11353,0.60388,2.48999,0.21736,0.36339,1.05229,0.97561,0.98012,0.992,0.88902,0.88787,0.85842,0.85415,0.70506,0.51217,1.6387,0.03744,0.26001,0.9493,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11622,0.6005,2.49825,0.21531,0.36019,1.05027,0.98002,0.98144,0.99255,0.89236,0.87037,0.84593,0.82333,0.68905,0.50036,1.72447,0.03844,0.24853,0.94006,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11894.8,0.59457,2.44067,0.21316,0.35715,1.0496,0.97644,0.98243,0.99235,0.89065,0.88127,0.85625,0.84808,0.69489,0.50573,1.67052,0.03824,0.25064,0.94551,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12162.8,0.59062,2.43203,0.21318,0.35488,1.04846,0.97569,0.98185,0.99188,0.89186,0.89379,0.85638,0.84703,0.69612,0.50043,1.62693,0.03764,0.25014,0.93966,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12430.9,0.59676,2.44481,0.21236,0.35784,1.05192,0.98258,0.97759,0.99233,0.89316,0.89632,0.86186,0.8584,0.71169,0.49878,1.61207,0.03767,0.24706,0.93828,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
