epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,8882.31,0.64864,2.85008,0.23742,0.40041,1.08173,0.97417,0.97582,0.99095,0.87562,0.86683,0.83446,0.82459,0.65913,0.55078,1.90354,0.05358,0.28404,0.97018,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9108.45,0.64367,2.82271,0.23742,0.39618,1.07904,0.97448,0.97313,0.99084,0.87048,0.86105,0.82922,0.81272,0.65041,0.57415,1.94868,0.04731,0.28528,0.97792,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9334.14,0.64294,2.82861,0.23632,0.40013,1.07808,0.97565,0.97464,0.99131,0.87485,0.86745,0.83,0.82388,0.65509,0.55225,1.91999,0.04889,0.28431,0.97696,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9559.62,0.63812,2.78822,0.23325,0.39438,1.0755,0.97183,0.97668,0.99115,0.87689,0.86466,0.83166,0.82461,0.66514,0.54535,1.8739,0.04952,0.28203,0.97193,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9785.41,0.63693,2.78075,0.23053,0.39322,1.07304,0.97294,0.97464,0.99087,0.87758,0.88277,0.83871,0.84393,0.67737,0.54252,1.83004,0.0449,0.27913,0.96597,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10013.5,0.63196,2.74225,0.22846,0.38936,1.07322,0.97284,0.97675,0.991,0.87805,0.86602,0.83242,0.82106,0.66126,0.54265,1.86248,0.04795,0.27807,0.97187,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10240.7,0.62795,2.70769,0.22864,0.38968,1.07228,0.9721,0.97687,0.99068,0.87756,0.88174,0.83446,0.83022,0.67385,0.54768,1.83094,0.04941,0.28087,0.9708,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10467.5,0.63403,2.73886,0.22735,0.39222,1.07572,0.97645,0.97743,0.99149,0.88444,0.88336,0.8416,0.83945,0.68258,0.52596,1.77403,0.04631,0.26956,0.95632,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10694.4,0.6273,2.68353,0.22553,0.38412,1.06961,0.97288,0.98088,0.99138,0.88023,0.88368,0.84031,0.84055,0.68698,0.53144,1.76733,0.04463,0.26509,0.96526,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10921.1,0.62488,2.64839,0.22349,0.38408,1.06811,0.97229,0.97974,0.99148,0.8828,0.87743,0.84172,0.83669,0.68356,0.52706,1.77705,0.04465,0.26578,0.96411,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
