epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,20816.7,0.69943,1.85653,0.19329,0.32145,0.01158,0.14248,0.98201,0.98037,0.99254,0.8938,0.91551,0.89347,0.8991,0.76967,0.50651,1.24335,0.04702,0.18581,0.01088,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,21084,0.6912,1.83169,0.19098,0.32427,0.01148,0.14428,0.98263,0.98034,0.99257,0.89496,0.91495,0.89206,0.89215,0.76894,0.50277,1.24274,0.04608,0.18531,0.01077,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,21354,0.68912,1.81773,0.18851,0.31937,0.01137,0.13864,0.98214,0.97974,0.99245,0.89528,0.9155,0.8913,0.89224,0.76935,0.50143,1.24677,0.04473,0.18279,0.01074,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,21621.1,0.68694,1.81072,0.18783,0.31701,0.01141,0.12048,0.98076,0.98093,0.99255,0.89523,0.91854,0.88786,0.89188,0.7687,0.50126,1.23998,0.04403,0.18436,0.01073,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,21887.7,0.68169,1.80988,0.18675,0.31641,0.01129,0.12112,0.98003,0.98254,0.99251,0.89458,0.91946,0.88633,0.89196,0.77054,0.50073,1.23872,0.04292,0.18396,0.01073,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,22154.5,0.67245,1.76501,0.18455,0.30691,0.0112,0.11788,0.98143,0.98165,0.99246,0.89448,0.91369,0.88913,0.89154,0.76952,0.50024,1.24645,0.04245,0.18246,0.01073,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,22421.3,0.67611,1.7989,0.18461,0.31072,0.01123,0.10003,0.98065,0.98149,0.99247,0.89606,0.91374,0.89384,0.89168,0.77008,0.49772,1.24157,0.04186,0.1838,0.01065,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,22688.4,0.66986,1.76457,0.18275,0.31077,0.0111,0.08182,0.98057,0.98063,0.9923,0.89619,0.90872,0.89665,0.89141,0.77053,0.49582,1.23705,0.041,0.1837,0.0106,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,22954.4,0.67011,1.76216,0.18078,0.30802,0.01103,0.08624,0.98152,0.9812,0.99262,0.896,0.91394,0.89592,0.89195,0.77117,0.49596,1.23166,0.04059,0.18157,0.01061,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23223.1,0.66455,1.7453,0.179,0.30408,0.01098,0.08673,0.9829,0.98182,0.99265,0.89651,0.91734,0.89524,0.90013,0.77295,0.49419,1.22186,0.04026,0.17986,0.01056,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
